                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1365,                 1.2257,                 0.9135,                0.80526,                0.56762,                0.65282,                0.26446,                 1.9782,                 1.0936,                0.91887,             0.00066581,             0.00066581,             0.00066581
                      2,                 2.1996,                 1.3722,                0.93192,                0.79304,                0.56929,                0.64562,                0.25846,                 2.0085,                 1.1447,                0.91981,              0.0013193,              0.0013193,              0.0013193
                      3,                 2.2511,                  1.376,                0.93401,                0.81232,                0.55387,                 0.6394,                0.25453,                 1.9686,                 1.1484,                0.91948,              0.0019596,              0.0019596,              0.0019596
                      4,                 2.2501,                 1.4362,                0.93315,                0.76172,                0.55213,                0.61664,                0.24248,                 2.0412,                 1.1778,                0.92927,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.2571,                 1.4107,                0.93747,                0.75932,                0.54135,                0.60022,                0.22369,                 2.1404,                 1.2198,                 0.9348,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.2525,                 1.4008,                0.93022,                0.81791,                0.55807,                0.63705,                0.23752,                 2.0778,                 1.1716,                0.92499,               0.001901,               0.001901,               0.001901
                      7,                 2.2298,                 1.4038,                0.92289,                0.78506,                0.57515,                0.62186,                0.23376,                 2.0936,                 1.2428,                0.93064,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.1956,                 1.3617,                0.92423,                 0.8098,                0.55487,                0.63944,                0.25541,                 2.0727,                 1.1544,                0.92206,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.1766,                 1.3025,                0.91968,                0.79049,                0.58349,                 0.6544,                0.25673,                 2.0158,                  1.115,                0.92289,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.2154,                 1.3543,                0.91982,                  0.807,                0.57385,                0.64246,                0.24116,                   2.07,                  1.109,                0.93067,              0.0018218,              0.0018218,              0.0018218
