                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     19,                 2.3974,                 1.5115,                0.97663,                0.77758,                0.53002,                 0.5905,                0.23324,                 2.1223,                 1.2226,                 0.9519,              0.0092872,              0.0092872,              0.0092872
                     20,                 2.3877,                 1.5533,                0.97782,                0.74978,                0.51781,                0.59328,                0.22325,                 2.1726,                 1.2783,                0.94719,              0.0092476,              0.0092476,              0.0092476
                     21,                 2.3595,                 1.4592,                0.96876,                 0.7807,                0.55126,                0.62067,                0.22725,                 2.1407,                 1.1856,                0.95436,               0.009208,               0.009208,               0.009208
                     22,                 2.3692,                 1.4598,                0.94669,                0.76928,                0.56082,                0.62743,                0.23859,                 2.1123,                 1.1835,                0.94536,              0.0091684,              0.0091684,              0.0091684
                     23,                 2.3446,                 1.4035,                0.95641,                0.75823,                0.57037,                0.62622,                0.23599,                 2.0988,                 1.1524,                0.94703,              0.0091288,              0.0091288,              0.0091288
                     24,                 2.3233,                 1.4174,                0.95994,                 0.7725,                0.56777,                0.62781,                0.23982,                 2.0891,                 1.1849,                0.94612,              0.0090892,              0.0090892,              0.0090892
                     25,                 2.3208,                 1.4001,                0.95065,                 0.7801,                0.56038,                 0.6236,                0.22626,                 2.0956,                 1.1727,                0.94258,              0.0090496,              0.0090496,              0.0090496
                     26,                 2.2913,                  1.394,                0.95279,                0.78049,                0.57922,                0.63751,                 0.2528,                  2.008,                 1.1464,                0.93391,                0.00901,                0.00901,                0.00901
                     27,                 2.2625,                 1.3287,                 0.9369,                0.78965,                0.56864,                0.63591,                0.25069,                 2.0362,                 1.1281,                0.96291,              0.0089704,              0.0089704,              0.0089704
                     28,                 2.3036,                 1.3696,                0.93968,                0.79154,                0.58471,                 0.6535,                0.25634,                 2.0202,                 1.1083,                0.93558,              0.0089308,              0.0089308,              0.0089308
                     29,                 2.2633,                 1.3339,                0.95227,                0.81369,                0.58601,                0.66211,                0.25777,                 1.9882,                 1.0956,                0.92908,              0.0088912,              0.0088912,              0.0088912
                     30,                 2.2581,                 1.3738,                0.95314,                0.77012,                 0.5865,                0.65096,                0.24613,                 2.0413,                 1.1112,                0.93213,              0.0088516,              0.0088516,              0.0088516
                     31,                 2.2454,                 1.3105,                0.94916,                0.78226,                0.59861,                0.66003,                0.25901,                 2.0092,                 1.0824,                0.92867,               0.008812,               0.008812,               0.008812
                     32,                 2.2115,                 1.2665,                0.93017,                0.79808,                 0.5666,                0.64222,                0.24635,                 2.0154,                 1.1074,                 0.9329,              0.0087724,              0.0087724,              0.0087724
                     33,                 2.2125,                 1.2548,                0.92819,                0.78828,                0.59557,                0.66332,                 0.2682,                 1.9331,                 1.0642,                0.92381,              0.0087328,              0.0087328,              0.0087328
                     34,                 2.1785,                 1.2687,                0.93306,                0.80248,                0.63597,                0.69916,                0.28202,                 1.9178,                 1.0249,                0.92172,              0.0086932,              0.0086932,              0.0086932
                     35,                 2.2142,                 1.2826,                0.94578,                0.81534,                0.61953,                0.69181,                0.27149,                 1.9423,                 1.0335,                0.92188,              0.0086536,              0.0086536,              0.0086536
                     36,                  2.166,                 1.2555,                0.93131,                0.80562,                0.61575,                0.69025,                 0.2829,                 1.9541,                 1.0086,                0.92462,               0.008614,               0.008614,               0.008614
                     37,                 2.1775,                 1.2633,                0.92379,                0.80373,                0.59591,                0.66641,                0.26881,                 1.9378,                 1.0568,                0.92602,              0.0085744,              0.0085744,              0.0085744
                     38,                 2.1602,                 1.2131,                0.93613,                0.79015,                0.62685,                0.67387,                0.26704,                 1.9743,                 1.0387,                 0.9288,              0.0085348,              0.0085348,              0.0085348
                     39,                 2.1686,                 1.2284,                 0.9357,                0.78897,                0.60686,                0.67718,                0.27152,                 1.9923,                 1.0078,                0.93148,              0.0084952,              0.0084952,              0.0084952
                     40,                 2.1576,                 1.2399,                0.93211,                0.81312,                0.61238,                0.69131,                0.27609,                 1.9572,                 1.0133,                0.92108,              0.0084556,              0.0084556,              0.0084556
                     41,                 2.1861,                 1.2484,                0.93215,                0.79385,                0.60295,                0.68277,                 0.2767,                 1.9469,                 1.0307,                 0.9168,               0.008416,               0.008416,               0.008416
                     42,                 2.1203,                 1.1982,                0.91947,                0.82907,                0.62368,                0.69839,                0.29318,                 1.8889,                0.97713,                0.91548,              0.0083764,              0.0083764,              0.0083764
                     43,                 2.1484,                 1.2067,                0.92601,                0.79878,                0.62033,                0.69546,                0.27737,                 1.9773,                 1.0382,                0.92157,              0.0083368,              0.0083368,              0.0083368
                     44,                 2.0941,                 1.1862,                0.91418,                0.79491,                0.62969,                0.69759,                  0.288,                 1.8599,                0.97882,                0.90751,              0.0082972,              0.0082972,              0.0082972
                     45,                 2.1117,                 1.1978,                0.91556,                0.81052,                0.61077,                0.68466,                0.28209,                 1.9349,                 1.0214,                0.91823,              0.0082576,              0.0082576,              0.0082576
                     46,                 2.0988,                 1.1658,                0.92003,                0.82145,                0.61121,                0.69062,                0.28798,                 1.8861,                0.99892,                0.91691,               0.008218,               0.008218,               0.008218
                     47,                 2.0846,                 1.1529,                0.92791,                0.82486,                0.62815,                0.69944,                0.27682,                 1.9588,                 1.0026,                0.92331,              0.0081784,              0.0081784,              0.0081784
                     48,                 2.1118,                 1.2059,                0.91998,                0.82316,                 0.6073,                0.70655,                0.28678,                 1.9376,                0.97334,                 0.9128,              0.0081388,              0.0081388,              0.0081388
                     49,                 2.0799,                 1.1631,                0.92931,                0.83289,                0.64302,                0.71658,                0.29772,                 1.8676,                0.95395,                0.90998,              0.0080992,              0.0080992,              0.0080992
                     50,                 2.0766,                 1.1375,                0.91726,                0.81651,                0.62772,                0.69872,                0.27929,                 1.9191,                 0.9903,                0.91377,              0.0080596,              0.0080596,              0.0080596
                     51,                 2.0702,                 1.1304,                0.92169,                0.84063,                 0.6199,                0.70323,                0.28822,                 1.8766,                0.94216,                0.90575,                0.00802,                0.00802,                0.00802
                     52,                 2.0605,                 1.1487,                0.91444,                0.83197,                0.62806,                0.71127,                0.29784,                 1.8957,                0.96909,                 0.9081,              0.0079804,              0.0079804,              0.0079804
                     53,                 2.0743,                 1.1386,                0.92226,                0.82527,                0.62815,                0.70909,                0.29484,                 1.8658,                0.95051,                0.91139,              0.0079408,              0.0079408,              0.0079408
                     54,                 2.0531,                 1.1067,                0.91686,                0.83079,                0.64248,                0.72181,                0.29997,                 1.8466,                0.94501,                 0.9062,              0.0079012,              0.0079012,              0.0079012
                     55,                 2.0744,                  1.127,                0.92114,                0.84022,                0.61859,                 0.7098,                0.30252,                 1.8567,                 0.9639,                0.90282,              0.0078616,              0.0078616,              0.0078616
                     56,                 2.0229,                 1.1095,                0.92001,                0.83959,                0.63162,                0.71416,                0.29475,                  1.849,                 0.9485,                0.90339,               0.007822,               0.007822,               0.007822
                     57,                  2.051,                 1.1152,                0.92008,                0.84136,                0.64857,                0.72523,                0.30331,                 1.8395,                 0.9109,                0.90606,              0.0077824,              0.0077824,              0.0077824
                     58,                 2.0617,                 1.1419,                0.91689,                0.80824,                0.63336,                0.70333,                0.29047,                 1.8987,                0.95933,                0.91369,              0.0077428,              0.0077428,              0.0077428
                     59,                 2.0459,                 1.0979,                0.91458,                0.81679,                0.63909,                0.71513,                0.29496,                 1.8742,                0.93876,                0.90712,              0.0077032,              0.0077032,              0.0077032
                     60,                 2.0359,                  1.113,                0.90807,                0.83003,                0.65812,                0.73465,                0.31692,                 1.8314,                0.93715,                0.90707,              0.0076636,              0.0076636,              0.0076636
                     61,                 2.0176,                 1.1099,                0.92358,                0.84615,                0.65595,                0.73557,                0.30856,                 1.8199,                0.91194,                 0.9049,               0.007624,               0.007624,               0.007624
                     62,                 1.9896,                 1.0711,                0.91013,                0.83438,                0.63944,                0.72496,                0.30439,                 1.8087,                0.91068,                0.90256,              0.0075844,              0.0075844,              0.0075844
                     63,                 2.0017,                 1.0858,                0.90716,                0.84761,                  0.649,                0.73188,                0.30981,                 1.8402,                0.92317,                0.90269,              0.0075448,              0.0075448,              0.0075448
                     64,                 2.0135,                 1.0877,                 0.9166,                0.83763,                0.65291,                0.73262,                 0.3057,                 1.8559,                0.91911,                0.90506,              0.0075052,              0.0075052,              0.0075052
                     65,                 2.0159,                 1.0518,                0.91004,                0.82289,                0.66898,                0.73871,                0.30802,                 1.8464,                0.89995,                0.90718,              0.0074656,              0.0074656,              0.0074656
                     66,                 2.0159,                 1.0913,                0.90368,                0.83889,                0.66275,                0.74251,                0.31508,                  1.822,                0.90143,                0.90151,               0.007426,               0.007426,               0.007426
                     67,                 2.0048,                 1.0767,                0.91182,                0.85279,                0.65639,                0.74184,                0.31441,                 1.8066,                0.90055,                0.90038,              0.0073864,              0.0073864,              0.0073864
                     68,                 1.9905,                 1.0898,                0.90382,                0.85621,                0.65184,                0.74176,                0.31243,                 1.8229,                0.87319,                0.90274,              0.0073468,              0.0073468,              0.0073468
                     69,                 2.0014,                 1.0779,                0.91133,                0.84958,                0.65204,                0.73927,                0.31759,                 1.8198,                0.89787,                0.90261,              0.0073072,              0.0073072,              0.0073072
                     70,                 2.0338,                 1.0866,                  0.908,                0.85601,                0.64422,                0.73007,                0.31298,                  1.812,                0.89627,                0.90272,              0.0072676,              0.0072676,              0.0072676
                     71,                 1.9315,                 1.0144,                0.89802,                0.84866,                0.63814,                0.72538,                0.31392,                 1.8306,                0.92007,                0.90928,               0.007228,               0.007228,               0.007228
                     72,                 1.9535,                 1.0276,                0.90392,                0.84239,                0.63162,                0.72927,                0.31621,                 1.8168,                0.88801,                0.90333,              0.0071884,              0.0071884,              0.0071884
                     73,                 1.9742,                 1.0258,                 0.9065,                0.85444,                0.64683,                0.74387,                0.31341,                 1.8128,                0.88674,                0.90228,              0.0071488,              0.0071488,              0.0071488
                     74,                 1.9573,                  1.024,                0.90541,                 0.8339,                0.65639,                0.73688,                0.30784,                 1.8403,                 0.9106,                0.90335,              0.0071092,              0.0071092,              0.0071092
                     75,                 1.9377,                 1.0041,                0.90217,                0.84915,                0.65334,                0.74524,                0.32522,                 1.7692,                0.86877,                0.89365,              0.0070696,              0.0070696,              0.0070696
                     76,                  1.938,                 1.0264,                0.89671,                0.85595,                0.65048,                0.73697,                 0.3234,                 1.7717,                0.87861,                0.89732,                0.00703,                0.00703,                0.00703
                     77,                 1.9472,                 1.0064,                 0.8969,                0.84218,                0.65605,                0.74069,                0.32328,                  1.782,                0.86662,                 0.8953,              0.0069904,              0.0069904,              0.0069904
                     78,                 1.9648,                 1.0058,                0.90755,                0.85947,                0.67246,                0.75784,                0.32962,                 1.7647,                0.85312,                0.89769,              0.0069508,              0.0069508,              0.0069508
                     79,                 1.9345,                 1.0039,                0.88964,                0.83987,                0.65621,                 0.7417,                 0.3204,                 1.7937,                0.87101,                0.89542,              0.0069112,              0.0069112,              0.0069112
                     80,                 1.9407,                 1.0088,                0.89626,                0.84814,                0.64777,                0.74684,                0.32455,                 1.7694,                0.87182,                0.89381,              0.0068716,              0.0068716,              0.0068716
                     81,                 1.9759,                 1.0532,                0.90694,                0.85501,                0.67115,                0.75641,                0.33187,                 1.7587,                0.86471,                0.89652,               0.006832,               0.006832,               0.006832
                     82,                 1.9204,                 1.0004,                0.89545,                0.85383,                0.65468,                0.74654,                0.32623,                  1.769,                0.87781,                0.89679,              0.0067924,              0.0067924,              0.0067924
                     83,                 1.9654,                 1.0123,                0.90809,                 0.8608,                0.65248,                0.74308,                0.32374,                 1.7825,                0.87604,                 0.8959,              0.0067528,              0.0067528,              0.0067528
                     84,                 1.9653,                 1.0154,                0.90006,                 0.8576,                0.66334,                0.75447,                0.33425,                 1.7441,                0.85387,                0.89157,              0.0067132,              0.0067132,              0.0067132
                     85,                 1.9113,                0.98946,                0.89715,                0.84901,                0.68151,                0.76226,                0.32673,                 1.7691,                0.85014,                0.89213,              0.0066736,              0.0066736,              0.0066736
                     86,                 1.9418,                 1.0202,                0.90758,                0.85196,                0.68028,                0.75913,                0.33464,                 1.7486,                0.85492,                0.89208,               0.006634,               0.006634,               0.006634
                     87,                 1.9219,                 1.0049,                0.91351,                0.85347,                0.67557,                 0.7658,                0.33459,                 1.7412,                0.85572,                0.89061,              0.0065944,              0.0065944,              0.0065944
                     88,                 1.9144,                0.99553,                0.90342,                0.86514,                0.67463,                0.76166,                0.33688,                 1.7429,                 0.8571,                0.89337,              0.0065548,              0.0065548,              0.0065548
                     89,                 1.9064,                0.98641,                0.89545,                0.86252,                0.68115,                0.76751,                0.33056,                 1.7426,                0.84442,                0.89396,              0.0065152,              0.0065152,              0.0065152
                     90,                 1.8919,                0.97867,                0.90143,                0.87655,                0.67858,                 0.7742,                0.34467,                 1.7145,                0.83268,                0.89157,              0.0064756,              0.0064756,              0.0064756
                     91,                 1.9021,                0.98658,                0.89239,                0.83804,                0.68109,                0.76331,                0.34326,                 1.7247,                0.85099,                0.89294,               0.006436,               0.006436,               0.006436
                     92,                 1.8939,                0.97555,                0.89259,                0.86074,                0.68735,                0.76339,                0.33997,                 1.7407,                0.82836,                0.88988,              0.0063964,              0.0063964,              0.0063964
                     93,                 1.9031,                0.96535,                0.89791,                0.86076,                0.67376,                0.77048,                0.33894,                 1.7429,                0.82811,                0.88864,              0.0063568,              0.0063568,              0.0063568
                     94,                 1.9064,                0.97856,                0.89691,                0.85258,                0.68335,                0.76938,                   0.34,                 1.7496,                0.84047,                0.89302,              0.0063172,              0.0063172,              0.0063172
                     95,                 1.9096,                0.96962,                0.88941,                0.85293,                0.68274,                0.76391,                0.33177,                 1.7223,                0.82381,                0.88859,              0.0062776,              0.0062776,              0.0062776
                     96,                 1.8905,                0.96651,                0.90128,                0.84592,                0.69592,                0.77463,                0.34967,                 1.7023,                0.80652,                0.88368,               0.006238,               0.006238,               0.006238
                     97,                 1.8809,                0.97116,                0.89196,                0.85127,                0.68897,                0.77228,                0.34117,                 1.7109,                0.82345,                0.88856,              0.0061984,              0.0061984,              0.0061984
                     98,                 1.8519,                0.96153,                0.88133,                0.85832,                0.68688,                0.77193,                0.34432,                 1.7199,                0.82094,                0.89074,              0.0061588,              0.0061588,              0.0061588
                     99,                 1.8874,                0.97552,                 0.8947,                0.86973,                0.68071,                0.77539,                0.34077,                 1.7274,                0.82944,                0.88703,              0.0061192,              0.0061192,              0.0061192
                    100,                 1.8775,                0.99632,                0.88622,                0.84343,                0.69736,                0.77207,                0.33997,                 1.7223,                0.82753,                 0.8893,              0.0060796,              0.0060796,              0.0060796
                    101,                 1.8559,                0.95035,                0.88264,                0.86496,                0.67337,                 0.7652,                0.33698,                 1.7211,                0.83204,                0.89138,                0.00604,                0.00604,                0.00604
                    102,                 1.8602,                0.95187,                 0.8913,                0.86535,                0.69235,                0.77894,                0.34705,                 1.7133,                0.81372,                0.88851,              0.0060004,              0.0060004,              0.0060004
                    103,                 1.9181,                0.98453,                0.88997,                0.84763,                0.69331,                0.78157,                0.34876,                 1.7172,                0.81201,                0.88876,              0.0059608,              0.0059608,              0.0059608
                    104,                 1.8769,                0.98095,                0.88554,                 0.8628,                0.68462,                0.77869,                0.34826,                 1.7072,                0.81236,                0.88749,              0.0059212,              0.0059212,              0.0059212
                    105,                 1.8424,                0.94144,                0.88891,                0.86573,                0.68028,                0.77472,                 0.3467,                 1.7076,                0.80358,                0.88623,              0.0058816,              0.0058816,              0.0058816
                    106,                 1.8515,                0.94791,                0.88303,                0.85807,                0.68023,                0.76914,                0.34517,                 1.7139,                0.80609,                 0.8873,               0.005842,               0.005842,               0.005842
                    107,                 1.8471,                0.92552,                 0.8785,                0.84876,                0.68504,                0.77272,                0.34794,                 1.7172,                0.80947,                0.88582,              0.0058024,              0.0058024,              0.0058024
                    108,                 1.8532,                0.93047,                0.88113,                0.86505,                0.69201,                0.77762,                0.34717,                 1.6845,                0.81058,                0.88152,              0.0057628,              0.0057628,              0.0057628
                    109,                 1.8237,                0.91531,                0.88128,                 0.8589,                0.70026,                0.78281,                0.36145,                 1.6782,                0.79455,                0.88001,              0.0057232,              0.0057232,              0.0057232
                    110,                 1.8436,                0.94832,                0.89165,                0.85535,                0.70125,                 0.7806,                0.35001,                 1.6963,                0.79262,                0.88477,              0.0056836,              0.0056836,              0.0056836
                    111,                 1.8319,                0.92367,                0.89175,                0.87407,                0.69983,                0.78874,                0.35685,                  1.681,                0.80311,                0.88305,               0.005644,               0.005644,               0.005644
                    112,                 1.8427,                0.92553,                0.88398,                 0.8657,                 0.7007,                 0.7818,                0.35004,                 1.7122,                 0.7968,                0.88773,              0.0056044,              0.0056044,              0.0056044
                    113,                 1.8265,                0.94726,                0.88051,                0.87947,                 0.7046,                0.79096,                0.35835,                 1.6999,                0.79813,                0.88495,              0.0055648,              0.0055648,              0.0055648
                    114,                 1.8312,                0.92053,                0.88735,                0.85357,                0.69418,                0.77887,                0.35833,                 1.6924,                0.79324,                0.88527,              0.0055252,              0.0055252,              0.0055252
                    115,                 1.8257,                0.92403,                0.88044,                0.87389,                0.68636,                0.78264,                0.36221,                 1.6764,                0.79476,                 0.8879,              0.0054856,              0.0054856,              0.0054856
                    116,                 1.8341,                0.92225,                0.88777,                0.87143,                0.68028,                0.77575,                0.35358,                 1.6771,                0.78963,                0.88771,               0.005446,               0.005446,               0.005446
                    117,                 1.8143,                0.89526,                0.87254,                0.86582,                0.69548,                0.77945,                0.36012,                 1.6752,                0.78548,                0.88643,              0.0054064,              0.0054064,              0.0054064
                    118,                 1.7962,                0.89545,                0.87607,                0.86174,                0.70287,                0.79166,                0.36201,                 1.6699,                0.77553,                 0.8829,              0.0053668,              0.0053668,              0.0053668
                    119,                 1.8314,                0.90102,                0.88185,                0.86859,                  0.702,                0.78336,                0.35639,                 1.7004,                0.78992,                0.88639,              0.0053272,              0.0053272,              0.0053272
                    120,                 1.8122,                0.88635,                0.88732,                0.86594,                0.67624,                0.76983,                0.34959,                 1.6816,                0.78818,                0.88622,              0.0052876,              0.0052876,              0.0052876
                    121,                 1.8066,                0.89499,                0.87996,                0.87476,                0.69592,                0.78989,                0.35803,                 1.6658,                0.77948,                  0.884,               0.005248,               0.005248,               0.005248
                    122,                 1.8153,                0.91372,                0.88751,                0.88598,                0.68525,                0.78801,                0.35758,                 1.6777,                0.77772,                0.88355,              0.0052084,              0.0052084,              0.0052084
                    123,                 1.8204,                0.94636,                0.88181,                0.87262,                0.68742,                0.78856,                0.36018,                 1.6972,                0.79556,                0.88357,              0.0051688,              0.0051688,              0.0051688
                    124,                 1.8178,                0.91219,                0.87957,                0.86958,                0.68593,                0.78971,                0.36807,                 1.6495,                0.78192,                0.88246,              0.0051292,              0.0051292,              0.0051292
                    125,                 1.8031,                0.90481,                0.87751,                0.87365,                0.69722,                0.79292,                 0.3685,                 1.6553,                0.78247,                0.87994,              0.0050896,              0.0050896,              0.0050896
                    126,                 1.7766,                0.89575,                0.88231,                0.87031,                0.69939,                0.79093,                0.36644,                 1.6588,                 0.7876,                 0.8804,                0.00505,                0.00505,                0.00505
                    127,                 1.8013,                0.89714,                0.88404,                0.86344,                0.70026,                0.78614,                0.36344,                 1.6878,                 0.7869,                0.88253,              0.0050104,              0.0050104,              0.0050104
                    128,                 1.7885,                0.88493,                 0.8714,                0.86878,                0.69891,                0.78778,                0.36556,                 1.6792,                0.77892,                0.88246,              0.0049708,              0.0049708,              0.0049708
                    129,                 1.7882,                0.87169,                0.87158,                0.87447,                0.69903,                0.79098,                  0.368,                 1.6723,                0.78149,                0.88636,              0.0049312,              0.0049312,              0.0049312
                    130,                 1.8075,                0.89753,                 0.8783,                0.88866,                0.69689,                0.79526,                0.36698,                 1.6447,                0.76978,                0.88128,              0.0048916,              0.0048916,              0.0048916
                    131,                 1.7947,                0.88103,                0.88886,                0.85643,                0.69965,                0.78613,                0.36699,                 1.6368,                0.76834,                0.88131,               0.004852,               0.004852,               0.004852
                    132,                 1.8002,                0.88976,                0.87681,                0.88214,                0.69904,                0.79397,                0.36736,                 1.6516,                  0.772,                0.87743,              0.0048124,              0.0048124,              0.0048124
                    133,                 1.8042,                 0.8947,                0.88023,                0.88442,                0.70137,                0.79661,                0.36855,                 1.6357,                0.76686,                0.87634,              0.0047728,              0.0047728,              0.0047728
                    134,                  1.779,                0.87538,                0.86629,                0.88094,                0.69104,                0.79615,                 0.3702,                 1.6494,                0.76819,                0.87968,              0.0047332,              0.0047332,              0.0047332
                    135,                 1.7667,                 0.8715,                0.87113,                 0.8776,                 0.7033,                0.79536,                0.36989,                 1.6462,                0.75978,                0.88164,              0.0046936,              0.0046936,              0.0046936
                    136,                 1.7722,                0.86554,                0.87233,                0.86986,                0.70266,                0.79381,                0.37196,                 1.6382,                0.75909,                 0.8799,               0.004654,               0.004654,               0.004654
                    137,                 1.7679,                0.86895,                0.88684,                0.87321,                0.70591,                0.79879,                0.37328,                 1.6473,                0.75882,                0.88167,              0.0046144,              0.0046144,              0.0046144
                    138,                 1.7216,                0.84975,                0.87591,                0.88153,                0.69822,                0.79419,                0.36968,                 1.6509,                0.75986,                0.88018,              0.0045748,              0.0045748,              0.0045748
                    139,                 1.7854,                0.88608,                0.88012,                0.87263,                 0.7113,                0.79714,                0.37401,                 1.6365,                0.76426,                0.88034,              0.0045352,              0.0045352,              0.0045352
                    140,                 1.7685,                0.87992,                0.87822,                0.87228,                0.71199,                0.80118,                0.37152,                 1.6348,                0.76935,                0.87738,              0.0044956,              0.0044956,              0.0044956
                    141,                 1.7753,                0.87939,                0.86762,                0.88219,                0.69616,                0.79504,                0.36754,                 1.6413,                 0.7618,                0.87514,               0.004456,               0.004456,               0.004456
                    142,                 1.7552,                0.86659,                0.86874,                0.88537,                0.69505,                0.79648,                0.37388,                 1.6246,                0.75695,                0.87597,              0.0044164,              0.0044164,              0.0044164
                    143,                 1.7393,                0.84742,                0.87622,                0.87563,                0.71112,                0.80371,                0.37809,                 1.6258,                0.74971,                0.87747,              0.0043768,              0.0043768,              0.0043768
                    144,                 1.7439,                0.85543,                0.87096,                 0.8772,                0.71764,                0.80772,                0.37774,                 1.6177,                0.73761,                0.87625,              0.0043372,              0.0043372,              0.0043372
                    145,                 1.7375,                0.84647,                0.88891,                0.87831,                 0.7146,                0.80311,                0.38215,                 1.6156,                0.74218,                0.87755,              0.0042976,              0.0042976,              0.0042976
                    146,                 1.7557,                  0.864,                 0.8696,                0.88184,                0.71324,                0.80309,                0.38006,                  1.621,                0.74413,                0.87806,               0.004258,               0.004258,               0.004258
                    147,                 1.7624,                 0.8772,                0.86844,                0.88134,                0.71503,                0.80448,                0.37961,                 1.6239,                0.74353,                0.87571,              0.0042184,              0.0042184,              0.0042184
                    148,                 1.7306,                0.82566,                 0.8694,                0.88929,                0.71069,                0.80569,                0.38141,                 1.6121,                0.74443,                0.87688,              0.0041788,              0.0041788,              0.0041788
                    149,                 1.7228,                0.85707,                0.86967,                0.89372,                0.71233,                0.80694,                0.37857,                 1.6244,                0.73861,                0.87747,              0.0041392,              0.0041392,              0.0041392
                    150,                 1.7434,                0.84901,                0.87201,                0.89105,                0.70678,                0.80737,                0.37979,                  1.617,                0.74368,                0.87806,              0.0040996,              0.0040996,              0.0040996
                    151,                 1.7319,                 0.8314,                0.87358,                0.88133,                0.70656,                0.79929,                0.37562,                 1.6164,                0.74044,                0.87664,                0.00406,                0.00406,                0.00406
                    152,                 1.7464,                0.85679,                0.87437,                0.87949,                0.69809,                 0.7969,                0.37365,                 1.6059,                0.73827,                0.87605,              0.0040204,              0.0040204,              0.0040204
                    153,                 1.7386,                0.84965,                0.86534,                0.89017,                0.70243,                0.80211,                0.37318,                 1.6187,                0.73994,                0.87494,              0.0039808,              0.0039808,              0.0039808
                    154,                 1.7388,                0.84056,                0.87061,                 0.8704,                0.72062,                0.80312,                0.37884,                 1.6223,                0.73392,                0.87268,              0.0039412,              0.0039412,              0.0039412
                    155,                 1.7543,                0.84853,                0.87019,                0.87881,                0.71894,                0.80569,                0.38084,                  1.618,                0.73554,                0.87186,              0.0039016,              0.0039016,              0.0039016
                    156,                 1.7394,                 0.8637,                0.86188,                0.88055,                 0.7146,                0.80651,                0.38312,                 1.6202,                0.73467,                0.87386,               0.003862,               0.003862,               0.003862
