                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.42276,                 59.554,                0.29903,                      0,                      0,                      0,                      0,                0.25441,                0.36602,                0.18746,              0.0033291,              0.0033291,              0.0033291
                      2,                0.93146,                 1.1896,                0.53678,                 0.0078,                0.03779,                0.00492,                 0.0012,                 2.8884,                 2.9549,                 1.2449,               0.006636,               0.006636,               0.006636
                      3,                    3.5,                 3.4668,                 1.3054,                0.10982,                0.24283,                0.09416,                0.02584,                 3.0589,                 2.8054,                 1.1788,              0.0099166,              0.0099166,              0.0099166
                      4,                 3.2607,                 3.0908,                 1.1607,                0.35752,                 0.2172,                0.17255,                0.04856,                 2.9954,                 2.3934,                 1.1217,              0.0098812,              0.0098812,              0.0098812
                      5,                 3.1017,                  2.602,                 1.1202,                0.50898,                0.33232,                0.30086,                0.08608,                  2.849,                 1.9929,                 1.0793,              0.0098416,              0.0098416,              0.0098416
                      6,                 2.9728,                 2.2742,                 1.0699,                0.56234,                0.34101,                0.34023,                0.10193,                 2.7136,                 1.7919,                 1.0416,               0.009802,               0.009802,               0.009802
                      7,                 2.8513,                 2.1298,                 1.0385,                0.58943,                0.38619,                0.37372,                0.11408,                 2.6357,                 1.7927,                 1.0255,              0.0097624,              0.0097624,              0.0097624
                      8,                 2.7463,                 1.9457,                 1.0341,                0.71695,                0.39878,                0.45419,                0.15249,                 2.4272,                 1.6282,                 1.0096,              0.0097228,              0.0097228,              0.0097228
                      9,                  2.694,                 1.8425,                 1.0161,                 0.6986,                0.44222,                0.48225,                0.16299,                 2.4541,                 1.5264,                0.99135,              0.0096832,              0.0096832,              0.0096832
                     10,                 2.7002,                 1.9169,                  1.012,                0.72622,                0.45399,                 0.4979,                0.16863,                 2.3573,                 1.4697,                0.99467,              0.0096436,              0.0096436,              0.0096436
                     11,                 2.6091,                 1.7829,                 1.0019,                0.68856,                0.46196,                 0.4818,                0.16252,                 2.4037,                 1.4683,                0.98256,               0.009604,               0.009604,               0.009604
                     12,                 2.5676,                 1.7446,                0.99491,                0.74922,                0.48262,                0.53736,                0.18313,                 2.3251,                 1.4097,                0.97686,              0.0095644,              0.0095644,              0.0095644
                     13,                 2.5295,                 1.6964,                0.98741,                0.74291,                0.49479,                0.53456,                0.17936,                 2.3341,                  1.406,                0.98556,              0.0095248,              0.0095248,              0.0095248
                     14,                 2.5027,                 1.6666,                0.97556,                0.72015,                0.49968,                0.55193,                0.20314,                 2.2359,                  1.316,                0.95877,              0.0094852,              0.0094852,              0.0094852
                     15,                 2.4854,                 1.6182,                0.99052,                0.74741,                0.48132,                0.52992,                0.19145,                 2.2151,                  1.415,                0.96347,              0.0094456,              0.0094456,              0.0094456
                     16,                 2.4549,                 1.5708,                0.97785,                0.76872,                0.52269,                0.58862,                0.21489,                 2.1861,                 1.2681,                0.95294,               0.009406,               0.009406,               0.009406
                     17,                 2.4509,                 1.5978,                0.98793,                0.75937,                0.51682,                0.57217,                0.20881,                 2.1742,                 1.2853,                0.95656,              0.0093664,              0.0093664,              0.0093664
                     18,                  2.407,                 1.4737,                0.96723,                0.77632,                0.53974,                0.60162,                0.21373,                 2.1986,                 1.2743,                0.95497,              0.0093268,              0.0093268,              0.0093268
