                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.8834,                0.96063,                0.88358,                0.84403,                0.70054,                0.78889,                0.35853,                 1.6969,                0.81703,                0.87997,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.8192,                0.92892,                0.86969,                0.83308,                0.70462,                0.78363,                0.35182,                 1.7218,                0.80299,                 0.8816,               0.000614,               0.000614,               0.000614
                     37,                 1.8353,                0.90006,                0.86458,                0.83881,                0.70984,                0.78977,                0.35883,                 1.6992,                 0.7877,                0.87985,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.8174,                0.87981,                0.87237,                 0.8632,                0.69077,                0.77909,                0.35457,                 1.6685,                0.77681,                0.87706,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.8182,                0.88278,                0.86853,                0.83247,                0.69896,                 0.7866,                 0.3587,                 1.6952,                0.77505,                0.87807,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.8038,                0.86557,                0.86655,                0.85829,                 0.7146,                0.79981,                 0.3646,                 1.6685,                 0.7672,                0.88088,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.7873,                0.90358,                0.85495,                0.85324,                0.70026,                0.78834,                0.36798,                 1.6691,                0.78635,                 0.8815,               0.000416,               0.000416,               0.000416
                     42,                 1.7919,                0.87012,                0.85557,                0.85444,                0.69852,                0.79541,                0.36754,                 1.6942,                0.77433,                0.88219,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.7411,                0.84427,                0.86653,                0.83378,                0.68332,                0.76891,                0.34698,                  1.693,                0.78783,                0.87666,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.7404,                0.82361,                0.85143,                0.84685,                0.72064,                0.80261,                0.37195,                 1.6454,                0.75092,                0.87312,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.7177,                0.84089,                0.84993,                 0.8474,                0.72368,                0.80032,                0.37486,                 1.6038,                 0.7465,                0.86796,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.7179,                0.80579,                0.85016,                0.84645,                0.72078,                0.80401,                0.38108,                 1.6209,                0.74931,                0.87137,               0.000218,               0.000218,               0.000218
                     47,                 1.7254,                0.82506,                0.85278,                0.84895,                0.71764,                0.80034,                0.37103,                 1.6533,                0.74911,                0.87095,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.6869,                 0.7924,                0.84163,                0.85834,                0.72806,                0.81332,                 0.3852,                 1.6112,                 0.7428,                0.87094,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.6771,                0.79589,                0.85021,                0.85827,                 0.7208,                0.80914,                0.37878,                 1.6271,                0.73839,                0.87183,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                  1.688,                 0.8241,                0.84476,                0.86253,                0.70868,                 0.8045,                0.37606,                 1.6119,                0.73642,                0.86978,               5.96e-05,               5.96e-05,               5.96e-05
